~,~
a,a
b,b
c,c
d,d
e,e
f,f
g,g
h,h
i,i
j,j
k,k
l,l
m,m
n,n
o,o
p,p
q,q
r,r
s,s
t,t
u,u
v,v
w,w
x,x
y,y
z,z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
!,!
"""",""""
#,#
$,$
%,%
&,&
','
(,(
),)
*,*
+,+
",",","
-,-
.,.
/,/
:,:
;,;
<,<
=,=
>,>
?,?
@,@
[,[
\,\
],]
^,^
_,_
`,`
{,{
|,|
},}
~,~
aa,2.6666666666666673e-06
bb,2e-06
cc,1.6666666666666665e-06
dd,1.6666666666666665e-06
ee,2e-06
ff,2e-06
gg,2e-06
hh,2e-06
ii,2e-06
jj,2.333333333333333e-06
kk,2e-06
ll,1.3333333333333332e-06
mm,2e-06
nn,2e-06
oo,2e-06
pp,2.333333333333333e-06
qq,2.333333333333333e-06
rr,2.333333333333333e-06
ss,2e-06
tt,2e-06
uu,1.6666666666666665e-06
vv,2e-06
ww,2e-06
xx,1.6666666666666665e-06
yy,2e-06
zz,1.6666666666666665e-06
AA,1.6666666666666665e-06
BB,2e-06
CC,2e-06
DD,2.333333333333333e-06
EE,6.666666666666666e-07
FF,2e-06
GG,1e-06
HH,1.6666666666666665e-06
II,1.3333333333333332e-06
JJ,2e-06
KK,2e-06
LL,2.333333333333333e-06
MM,2.333333333333333e-06
NN,2.333333333333333e-06
OO,2e-06
PP,2e-06
QQ,2e-06
RR,1.6666666666666665e-06
SS,2e-06
TT,2e-06
UU,4e-06
VV,2.333333333333333e-06
WW,2e-06
XX,2e-06
YY,1.3333333333333332e-06
ZZ,2.333333333333333e-06
!!,2.333333333333333e-06
"""""",2e-06
##,1.6666666666666665e-06
$$,1.6666666666666665e-06
%%,2e-06
&&,2e-06
'',1.6666666666666665e-06
((,2e-06
)),1.6666666666666665e-06
**,2.333333333333333e-06
++,1.6666666666666665e-06
",,",2e-06
--,1.3333333333333332e-06
..,2e-06
//,1.6666666666666665e-06
::,1.6666666666666665e-06
;;,2.333333333333333e-06
<<,2e-06
==,2e-06
>>,2e-06
??,1.6666666666666665e-06
@@,2.333333333333333e-06
[[,1.6666666666666665e-06
\\,1.6666666666666665e-06
]],2e-06
^^,1.6666666666666665e-06
__,2.333333333333333e-06
``,2.333333333333333e-06
{{,2e-06
||,2.333333333333333e-06
}},2e-06
~~,2e-06
aa,0.012332000000000001
bb,0.010068333333333334
cc,0.04589566666666667
dd,0.015520333333333332
ee,0.012273000000000001
ff,0.018740333333333335
gg,0.013718666666666665
hh,0.015385666666666666
ii,0.018053666666666666
jj,0.04823566666666667
kk,0.017608666666666665
ll,0.04667633333333333
mm,0.015321666666666666
nn,0.032233
oo,0.014150333333333334
pp,0.015496333333333334
qq,0.013803666666666665
rr,0.05898433333333334
ss,0.022246000000000002
tt,0.015223333333333332
uu,0.047109333333333336
vv,0.025621333333333333
ww,0.04728933333333333
xx,0.013655333333333334
yy,0.012852666666666665
zz,0.011661333333333334
AA,0.009310666666666667
BB,0.012977333333333332
CC,0.013271999999999999
DD,0.012542
EE,0.015866333333333333
FF,0.013906000000000002
GG,0.017346
HH,0.014649333333333334
II,0.015473333333333334
JJ,0.013738333333333333
KK,0.012848333333333335
LL,0.014434666666666667
MM,0.013975
NN,0.022715666666666665
OO,0.011813333333333334
PP,0.013597999999999999
QQ,0.013143000000000002
RR,0.014692666666666666
SS,0.016130000000000002
TT,0.014451
UU,0.012735999999999999
VV,0.012893666666666666
WW,0.012031
XX,0.012796
YY,0.012969
ZZ,0.034083333333333334
!!,0.020474000000000003
"""""",0.014797333333333334
##,0.015007333333333333
$$,0.014522666666666665
%%,0.015130666666666667
&&,0.01580166666666667
'',0.015906
((,0.013277333333333334
